#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  27
# Band-Index    1
   0.00000    -13.464283    -13.422584
   0.01222    -13.464023    -13.422337
   0.02445    -13.463229    -13.421584
   0.03667    -13.461906    -13.420331
   0.04889    -13.460061    -13.418585
   0.06112    -13.457706    -13.416359
   0.07334    -13.454857    -13.413670
   0.08556    -13.451532    -13.410540
   0.09779    -13.447756    -13.406996
   0.11001    -13.443563    -13.403075
   0.12223    -13.438989    -13.398819
   0.13446    -13.434092    -13.394291
   0.14668    -13.428940    -13.389565
   0.15890    -13.423626    -13.384742
   0.17113    -13.418284    -13.379959
   0.18335    -13.413100    -13.375399
   0.19557    -13.408343    -13.371306
   0.20780    -13.404389    -13.367990
   0.22002    -13.401711    -13.365800
   0.23224    -13.400756    -13.365031
   0.23224    -13.400756    -13.365031
   0.27675    -13.395278    -13.359461
   0.32126    -13.378832    -13.342756
   0.36576    -13.351372    -13.314915
   0.41027    -13.312877    -13.275972
   0.45478    -13.263363    -13.225993
   0.49929    -13.202919    -13.165101
   0.54379    -13.131736    -13.093513
   0.58830    -13.050087    -13.011519
   0.63281    -12.958366    -12.919530
   0.67731    -12.857103    -12.818088
   0.72182    -12.747016    -12.707931
   0.76633    -12.629077    -12.590063
   0.81084    -12.504567    -12.465807
   0.85534    -12.375343    -12.337079
   0.89985    -12.244206    -12.206755
   0.94436    -12.115629    -12.079349
   0.98887    -11.997311    -11.962428
   1.03337    -11.903171    -11.869282
   1.07788    -11.860335    -11.826496
   1.07788    -11.860335    -11.826496
   1.12182    -11.902450    -11.868547
   1.16577    -11.996961    -11.962245
   1.20971    -12.117083    -12.081207
   1.25366    -12.248591    -12.211683
   1.29760    -12.383493    -12.345769
   1.34154    -12.517076    -12.478709
   1.38549    -12.646345    -12.607454
   1.42943    -12.769306    -12.729968
   1.47338    -12.884560    -12.844828
   1.51732    -12.991010    -12.950925
   1.56127    -13.087857    -13.047450
   1.60521    -13.174483    -13.133788
   1.64915    -13.250398    -13.209447
